ID_H1,_Ldeg,_Bdeg,_vLSR,vfit,resid
NGC 1851,244.51,-35.03,303.8,102.933404910446,200.866595089554
NGC 3201,277.23,8.64,482.9,116.97765882468556,365.9223411753144
NGC 4590,299.63,36.05,-96.8,103.95251245518493,-200.75251245518493
NGC 5466,42.15,73.59,121.2,-83.62864330838214,204.82864330838214
NGC 5694,331.06,30.36,-136.2,58.79050490055929,-194.99050490055927
NGC 6101,317.74,-15.82,357.0,81.17873297741293,275.82126702258705
NGC 6287,0.13,11.02,-279.1,-0.15534388869915894,-278.94465611130084
NGC 6333,5.54,10.71,239.8,-11.745415045921746,251.54541504592174
Ton 2,350.8,-3.42,-178.6,19.664269337688253,-198.26426933768823
Pal 6,2.1,1.78,190.2,-4.375771461193122,194.5757714611931
Djorg 1,356.69,-2.47,-355.0,7.196464514333664,-362.1964645143337
NGC 6528,1.14,-4.17,214.9,-2.318654200468868,217.21865420046888
2MS-GC02,9.79,-0.61,-227.4,-20.81596684102152,-206.58403315897849
NGC 6558,0.2,-6.02,-189.4,-0.30523132335946634,-189.09476867664054
IC 1276,21.83,5.67,169.2,-45.88895849870898,215.08895849870896
NGC 6681,2.85,-12.51,227.8,-5.983126187954642,233.78312618795465
NGC 6809,8.79,-23.27,181.8,-18.687498144623106,200.48749814462312
NGC 6934,52.1,-18.89,-398.5,-98.80848102519849,-299.6915189748015
NGC 6981,35.16,-32.68,-336.2,-71.52746539205668,-264.6725346079433
NGC 7006,63.77,-19.41,-371.3,-113.00362161213235,-258.29637838786766
