ID_H1,Name,RA,DEC,L,B,R_Sun,R_gc,X,Y,Z,KEY,ID_H3,v_r,v_r_e,v_LSR,sig_v,sig_v_e,c,r_c,r_h,mu_V,rho_0,lg_tc,lg_th,#NGC,Name_VDB,FeH,Age,Age_err,Method,Figs,Range,HBtype,R_G,M_V,v_e0,log_sigma_0,ID,Class,Object,AltName,Mstar,rh,C5,Age_KR,FeH_KR
NGC 104,47 Tuc,00:24:05.67,-72:04:52.6,305.89,-44.89,4.5,7.4,1.9,-2.6,-3.1,NGC104,NGC 104,-18,0.1,-26.7,11,0.3,2.07,0.36,3.17,14.38,4.88,7.84,9.55,,,,,,,,,,,,,,,GC,NGC104,47Tuc,6.46,7.1,0.92,12.8,-0.76
NGC 288,,00:52:45.24,-26:34:57.4,152.3,-89.38,8.9,12,-0.1,0,-8.9,NGC288,NGC 288,-45.4,0.2,-51.9,2.9,0.3,0.99,1.35,2.23,20.05,1.78,8.99,9.32,,,,,,,,,,,,,,,GC,NGC288,Melotte3,0.46,9.8,0.05,12.2,-1.32
NGC 362,,01:03:14.26,-70:50:55.6,301.53,-46.25,8.6,9.4,3.1,-5.1,-6.2,NGC362,NGC 362,223.5,0.5,214,6.4,0.3,1.76,0.18,0.82,14.8,4.74,7.76,8.93,,,,,,,,,,,,,,,GC,NGC362,Dunlop62,2.5,3.5,0.72,10,-1.26
Whiting 1,,02:02:57,-03:15:10,161.22,-60.76,30.1,34.5,-13.9,4.7,-26.3,WHITING1,Whiting 1,-130.6,1.8,-138.1,,,0.55,0.25,0.22,,,,7.93,,,,,,,,,,,,,,,,,,,,,,
NGC 1261,,03:12:16.21,-55:12:58.4,270.54,-52.12,16.3,18.1,0.1,-10,-12.9,NGC1261,NGC 1261,68.2,4.6,54.9,,,1.16,0.35,0.68,17.73,2.99,8.59,9.12,,,,,,,,,,,,,,,GC,NGC1261,Caldwell87,3.41,5.5,0.62,10.24,-1.08
Pal 1,,03:33:20.04,+79:34:51.8,130.06,19.03,11.1,17.2,-6.8,8.1,3.6,PAL1,Pal 1,-82.8,3.3,-76.2,,,2.57,0.01,0.46,20.93,3.51,4.06,7.76,,,,,,,,,,,,,,,,,,,,,,
AM 1,E 1,03:55:02.3,-49:36:55,258.34,-48.47,123.3,124.6,-16.5,-80.1,-92.3,AM1,AM 1,116,20,101.3,,,1.36,0.17,0.41,23.62,0.03,8.96,9.61,,,,,,,,,,,,,,,,,,,,,,
Eridanus,,04:24:44.5,-21:11:13,218.1,-41.33,90.1,95,-53.2,-41.7,-59.5,ERIDANUS,Eridanus,-23.6,2.1,-39.1,,,1.1,0.25,0.46,22.81,0.38,9.18,9.54,,,,,,,,,,,,,,,,,,,,,,
Pal 2,,04:46:05.91,+31:22:53.4,170.53,-9.07,27.2,35,-26.4,4.4,-4.3,PAL2,Pal 2,-133,57,-140.1,,,1.53,0.17,0.5,19.06,4.06,8.82,9.28,,,,,,,,,,,,,,,,,,,,,,
NGC 1851,,05:14:06.76,-40:02:47.6,244.51,-35.03,12.1,16.6,-4.2,-8.9,-6.9,NGC1851,NGC 1851,320.5,0.6,303.8,10.4,0.5,1.86,0.09,0.51,14.25,5.09,7.43,8.82,,,,,,,,,,,,,,,GC,NGC1851,Dunlop508,5.51,3.05,1.81,7.64,-1.13
NGC 1904,M 79,05:24:11.09,-24:31:29.0,227.23,-29.35,12.9,18.8,-7.7,-8.3,-6.3,NGC1904,NGC 1904,205.8,0.4,189,5.3,0.4,1.7,0.16,0.65,16.02,4.08,7.83,8.95,,,,,,,,,,,,,,,GC,NGC1904,M79,1.45,4.1,0.50,12.0,-1.58
NGC 2298,,06:48:59.41,-36:00:19.1,245.63,-16,10.8,15.8,-4.3,-9.4,-3,NGC2298,NGC 2298,148.9,1.2,132,,,1.38,0.31,0.98,18.9,2.9,7.91,8.84,,,,,,,,,,,,,,,GC,NGC2298,Dunlop578,0.85,3.1,0.16,12.4,-1.98
NGC 2419,,07:38:08.47,+38:52:56.8,180.37,25.24,82.6,89.9,-74.7,-0.5,35.2,NGC2419,NGC 2419,-20.2,0.5,-25.2,4,0.6,1.37,0.32,0.89,19.67,1.62,9.87,10.63,,,,,,,,,,,,,,,,,,,,,,
Ko 2,,07:58:17.0,+26:15:18,195.12,25.54,34.7,41.9,-30.2,-8.2,15,KO2,Ko 2,,,,,,0.5,0.25,0.21,,,,7.7,,,,,,,,,,,,,,,,,,,,,,
Pyxis,,09:07:57.8,-37:13:17,261.32,7,39.4,41.4,-5.9,-38.7,4.8,PYXIS,Pyxis,34.3,1.9,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC 2808,,09:12:03.10,-64:51:48.6,282.19,-11.25,9.6,11.1,2,-9.2,-1.9,NGC2808,NGC 2808,101.6,0.7,89.2,13.4,1.2,1.56,0.25,0.8,15.08,4.66,8.24,9.15,,,,,,,,,,,,,,,GC,NGC2808,Dunlop265,12.3,3.8,3.24,11.2,-1.18
E 3,,09:20:57.07,-77:16:54.8,292.27,-19.02,8.1,9.1,2.9,-7.1,-2.6,E3,E 3,,,,,,0.75,1.87,2.1,23.1,0.84,8.93,8.8,,,,,,,,,,,,,,,,,,,,,,
Pal 3,,10:05:31.9,+00:04:18,240.15,41.86,92.5,95.7,-34.3,-59.7,61.7,PAL3,Pal 3,83.4,8.4,75.9,,,0.99,0.41,0.65,23.26,0.01,9.65,9.88,,,,,,,,,,,,,,,,,,,,,,
NGC 3201,,10:17:36.82,-46:24:44.9,277.23,8.64,4.9,8.8,0.6,-4.8,0.7,NGC3201,NGC 3201,494,0.2,482.9,5,0.2,1.29,1.3,3.1,19,2.71,8.61,9.27,,,,,,,,,,,,,,,GC,NGC3201,Dunlop445,1.1,7.5,0.15,11.1,-1.51
Pal 4,,11:29:16.80,+28:58:24.9,202.31,71.8,108.7,111.2,-31.4,-12.9,103.2,PAL4,Pal 4,74.5,2.1,76.6,,,0.93,0.33,0.51,23.01,0.11,9.72,9.42,,,,,,,,,,,,,,,,,,,,,,
Ko 1,,11:59:18.5,+12:15:36,260.99,70.75,48.3,49.3,-2.5,-15.7,45.6,KO1,Ko 1,,,,,,0.5,0.33,0.26,,,,8.62,,,,,,,,,,,,,,,,,,,,,,
NGC 4147,,12:10:06.30,+18:32:33.5,252.85,77.19,19.3,21.4,-1.3,-4.1,18.8,NGC4147,NGC 4147,183.2,0.7,186.1,2.6,0.7,1.83,0.09,0.48,17.38,3.63,7.41,8.74,,,,,,,,,,,,,,,,,,,,,,
NGC 4372,,12:25:45.40,-72:39:32.4,300.99,-9.88,5.8,7.1,2.9,-4.9,-1,NGC4372,NGC 4372,72.3,1.2,64.2,,,1.3,1.75,3.91,20.58,2.06,8.88,9.59,,,,,,,,,,,,,,,,,,,,,,
Rup 106,,12:38:40.2,-51:09:01,300.88,11.67,21.2,18.5,10.7,-17.8,4.3,RUP106,Rup 106,-44,3,-49.7,,,0.7,1,1.05,21.82,1.1,9.41,9.34,,,,,,,,,,,,,,,,,,,,,,
NGC 4590,M 68,12:39:27.98,-26:44:38.6,299.63,36.05,10.3,10.2,4.1,-7.2,6,NGC4590,NGC 4590,-94.7,0.2,-96.8,2.5,0.4,1.41,0.58,1.51,18.81,2.57,8.45,9.27,,,,,,,,,,,,,,,GC,NGC4590,M68,1.07,7.7,0.14,12.7,-2.27
NGC 4833,,12:59:33.92,-70:52:35.4,303.6,-8.02,6.6,7,3.6,-5.4,-0.9,NGC4833,NGC 4833,200.2,1.2,192.9,,,1.25,1,2.41,18.48,3,8.78,9.42,,,,,,,,,,,,,,,GC,NGC4833,Dunlop164,4.10,7.9,0.52,12.5,-1.71
NGC 5024,M 53,13:12:55.25,+18:10:05.4,332.96,79.76,17.9,18.4,2.8,-1.4,17.6,NGC5024,NGC 5024,-62.9,0.3,-56.2,4.4,0.9,1.72,0.35,1.31,17.38,3.07,8.73,9.76,,,,,,,,,,,,,,,GC,NGC5024,M53,8.26,11.6,0.71,12.7,-1.86
NGC 5053,,13:16:27.09,+17:42:00.9,335.7,78.95,17.4,17.8,3,-1.4,17.1,NGC5053,NGC 5053,44,0.4,50.9,1.4,0.2,0.74,2.08,2.61,22.03,0.54,9.81,9.87,,,,,,,,,,,,,,,GC,NGC5053,NONE,1.25,22.5,0.056,12.3,-1.98
NGC 5139,omega Cen,13:26:47.24,-47:28:46.5,309.1,14.97,5.2,6.4,3.1,-3.9,1.3,NGC5139,NGC 5139,232.1,0.1,228.9,16.8,0.3,1.31,2.37,5,16.81,3.15,9.6,10.09,,,,,,,,,,,,,,,,,,,,,,
NGC 5272,M 3,13:42:11.62,+28:22:38.2,42.22,78.71,10.2,12,1.5,1.3,10,NGC5272,NGC 5272,-147.6,0.2,-138.3,5.5,0.3,1.89,0.37,2.31,16.64,3.57,8.31,9.79,,,,,,,,,,,,,,,GC,NGC5272,M3,4.68,11.7,0.40,11.4,-1.34
NGC 5286,,13:46:26.81,-51:22:27.3,311.61,10.57,11.7,8.9,7.6,-8.6,2.1,NGC5286,NGC 5286,57.4,1.5,54.3,8.1,1,1.41,0.28,0.73,16.22,4.1,8.4,9.11,,,,,,,,,,,,,,,GC,NGC5286,NONE,7.13,4.2,1.69,12.5,-1.41
AM 4,,13:56:21.7,-27:10:03,320.28,33.51,32.2,27.8,20.7,-17.2,17.8,AM4,AM 4,,,,,,0.7,0.41,0.43,24.75,-0.05,8.42,8.32,,,,,,,,,,,,,,,,,,,,,,
NGC 5466,,14:05:27.29,+28:32:04.0,42.15,73.59,16,16.3,3.3,3,15.3,NGC5466,NGC 5466,110.7,0.2,121.2,1.7,0.2,1.04,1.43,2.3,21.61,0.84,9.35,9.76,,,,,,,,,,,,,,,GC,NGC5466,NONE,1.79,18.2,0.098,13.6,-2.20
NGC 5634,,14:29:37.23,-05:58:35.1,342.21,49.26,25.2,21.2,15.7,-5,19.1,NGC5634,NGC 5634,-45.1,6.6,-37.5,,,2.07,0.09,0.86,17.2,3.63,7.67,9.54,,,,,,,,,,,,,,,,,,,,,,
NGC 5694,,14:39:36.29,-26:32:20.2,331.06,30.36,35,29.4,26.4,-14.6,17.7,NGC5694,NGC 5694,-140.3,0.8,-136.2,5.8,0.8,1.89,0.06,0.4,16.51,3.95,7.85,9.27,,,,,,,,,,,,,,,,,,,,,,
IC 4499,,15:00:18.45,-82:12:49.3,307.35,-20.47,18.8,15.7,10.7,-14,-6.6,IC4499,IC 4499,31.5,0.2,24.1,2.5,0.5,1.21,0.84,1.71,20.9,1.55,9.21,9.73,,,,,,,,,,,,,,,,,,,,,,
