ID_H1,_FeH,_Age,_vLSR,_Ldeg,_Bdeg,R_gc,_R_G,sig_v,amr_x,amr_y,amr_bin_center,amr_med_age,amr_dAge,flag_young,kin_vfit,kin_resid,kin_sigma,kin_z,flag_kin_lenient,flag_kin_strict,flag_accreted_lenient,flag_accreted_strict
NGC 104,-0.76,12.8,-26.7,305.89,-44.89,7.4,7.4,11.0,-0.76,12.8,-0.73,12.7,0.10000000000000142,False,97.21209671257789,-123.91209671257789,125.29403128250387,-0.9889704676609049,False,False,False,False
NGC 288,-1.32,12.2,-51.9,152.3,-89.38,12.0,12.0,2.9,-1.32,12.2,-1.33,11.6,0.5999999999999996,False,-67.33590983365085,15.435909833650847,125.29403128250387,0.12319748734755832,False,False,False,False
NGC 362,-1.26,10.0,214.0,301.53,-46.25,9.4,9.4,6.4,-1.26,10.0,-1.33,11.6,-1.5999999999999996,True,102.04115461865537,111.95884538134463,125.29403128250387,0.8935688654546359,False,False,False,False
Whiting 1,,,-138.1,161.22,-60.76,34.5,34.5,,,,,,,False,-50.145379332045316,-87.95462066795469,125.29403128250387,-0.7019857192529867,False,False,False,False
NGC 1261,-1.08,10.24,54.9,270.54,-52.12,18.1,18.1,,-1.08,10.24,-1.13,11.05,-0.8100000000000005,False,117.30303854418725,-62.40303854418725,125.29403128250387,-0.4980527636107854,False,False,False,False
Pal 1,,,-76.2,130.06,19.03,17.2,17.2,,,,,,,False,-102.86293855411675,26.66293855411675,125.29403128250387,0.21280294265573668,False,False,False,False
AM 1,,,101.3,258.34,-48.47,124.6,124.6,,,,,,,False,113.60612805588083,-12.306128055880833,125.29403128250387,-0.09821799115182009,False,False,False,False
Eridanus,,,-39.1,218.1,-41.33,95.0,95.0,,,,,,,False,65.92213692146966,-105.02213692146967,125.29403128250387,-0.8382054264394558,False,False,False,False
Pal 2,,,-140.1,170.53,-9.07,35.0,35.0,,,,,,,False,-31.056036468680333,-109.04396353131966,125.29403128250387,-0.8703045341837176,False,False,False,False
NGC 1851,-1.13,7.64,303.8,244.51,-35.03,16.6,16.6,10.4,-1.13,7.64,-1.13,11.05,-3.410000000000001,True,102.933404910446,200.866595089554,125.29403128250387,1.603161723136313,True,False,True,False
NGC 1904,-1.58,12.0,189.0,227.23,-29.35,18.8,18.8,5.3,-1.58,12.0,-1.5299999999999998,12.5,-0.5,False,80.87770253130898,108.12229746869102,125.29403128250387,0.8629485088950863,False,False,False,False
