ID_H1,L,v_LSR,v_model,residual,kin
NGC 104,305.89,-26.7,97.21209671257789,-123.91209671257789,False
NGC 288,152.3,-51.9,-67.33590983365085,15.435909833650847,False
NGC 362,301.53,214.0,102.04115461865537,111.95884538134463,False
Whiting 1,161.22,-138.1,-50.145379332045316,-87.95462066795469,False
NGC 1261,270.54,54.9,117.30303854418725,-62.40303854418725,False
Pal 1,130.06,-76.2,-102.86293855411675,26.66293855411675,False
AM 1,258.34,101.3,113.60612805588083,-12.306128055880833,False
Eridanus,218.1,-39.1,65.92213692146966,-105.02213692146967,False
Pal 2,170.53,-140.1,-31.056036468680333,-109.04396353131966,False
NGC 1851,244.51,303.8,102.933404910446,200.866595089554,False
NGC 1904,227.23,189.0,80.87770253130898,108.12229746869102,False
NGC 2298,245.63,132.0,104.04225575953785,27.957744240462148,False
NGC 2419,180.37,-25.2,-10.15631500734045,-15.04368499265955,False
Pyxis,261.32,20.7,115.01590034168593,-94.31590034168593,False
NGC 2808,282.19,89.2,115.65937011046991,-26.459370110469905,False
Pal 3,240.15,75.9,98.2266429694891,-22.3266429694891,False
NGC 3201,277.23,482.9,116.97765882468556,365.9223411753144,True
Pal 4,202.31,76.6,36.03315946370787,40.566840536292126,False
NGC 4147,252.85,186.1,110.16959802112846,75.93040197887153,False
NGC 4372,300.99,64.2,102.59649480904106,-38.39649480904106,False
Rup 106,300.88,-49.7,102.70844503231069,-152.40844503231068,False
NGC 4590,299.63,-96.8,103.95251245518493,-200.75251245518493,False
NGC 4833,303.6,192.9,99.82437207334688,93.07562792665313,False
NGC 5024,332.96,-56.2,55.284777989966024,-111.48477798996603,False
NGC 5053,335.7,50.9,50.11264404368065,0.7873559563193453,False
NGC 5139,309.1,228.9,93.27541653420987,135.62458346579012,False
NGC 5272,42.22,-138.3,-83.74423469205082,-54.55576530794919,False
NGC 5286,311.61,54.3,89.98079458642844,-35.68079458642845,False
NGC 5466,42.15,121.2,-83.62864330838214,204.82864330838214,False
NGC 5634,342.21,-37.5,37.337276175881186,-74.83727617588119,False
NGC 5694,331.06,-136.2,58.79050490055929,-194.99050490055927,False
IC 4499,307.35,24.1,95.46078797130312,-71.36078797130313,False
NGC 5824,332.56,-23.8,56.028502503936885,-79.82850250393689,False
Pal 5,0.85,-48.0,-1.6973777737864428,-46.30262222621356,False
NGC 5897,342.95,108.4,35.847029506146875,72.55297049385314,False
NGC 5904,3.86,64.3,-8.147492523151959,72.44749252315195,False
NGC 5927,326.6,-107.2,66.73573132753712,-173.93573132753713,False
NGC 5946,327.58,128.9,65.02573868183424,63.874261318165765,False
NGC 5986,337.02,92.9,47.5749043237085,45.325095676291504,False
Lynga 7,328.77,8.0,62.921664268261985,-54.921664268261985,False
Pal 14,28.74,87.0,-59.54264512432118,146.54264512432118,False
NGC 6093,352.67,16.7,15.728366697747385,0.9716333022526147,False
NGC 6121,350.97,78.6,19.307500928577348,59.29249907142265,False
NGC 6101,317.74,357.0,81.17873297741293,275.82126702258705,True
NGC 6144,351.93,201.9,17.288815755862117,184.6111842441379,False
NGC 6139,342.37,11.5,37.01565639023869,-25.51565639023869,False
